type vertexCount density time
dfs 5000 0.01 1582
sc 5000 0.01 4552
bfs 5000 0.01 1598
dfs 5000 0.01 1640
sc 5000 0.01 4688
bfs 5000 0.01 1624
dfs 5000 0.01 1624
sc 5000 0.01 4488
bfs 5000 0.01 1552
dfs 5000 0.01 1534
sc 5000 0.01 4528
bfs 5000 0.01 1545
dfs 5000 0.01 1548
sc 5000 0.01 4520
bfs 5000 0.01 1587
dfs 5000 0.01 1576
sc 5000 0.01 4464
bfs 5000 0.01 1555
dfs 5000 0.01 1539
sc 5000 0.01 4440
bfs 5000 0.01 1592
dfs 5000 0.01 1608
sc 5000 0.05 19880
bfs 5000 0.05 6688
dfs 5000 0.05 7032
sc 5000 0.05 20800
bfs 5000 0.05 6816
dfs 5000 0.05 7272
sc 5000 0.05 20280
bfs 5000 0.05 6784
dfs 5000 0.05 6728
sc 5000 0.05 19880
bfs 5000 0.05 6672
dfs 5000 0.05 6768
sc 5000 0.05 22040
bfs 5000 0.05 7408
dfs 5000 0.05 7400
sc 5000 0.05 20160
bfs 5000 0.05 6888
dfs 5000 0.05 6840
sc 5000 0.05 20000
bfs 5000 0.05 6760
dfs 5000 0.05 6816
sc 5000 0.05 20200
bfs 5000 0.05 6752
dfs 5000 0.05 6800
sc 5000 0.05 20480
bfs 5000 0.05 6816
dfs 5000 0.05 6912
sc 5000 0.05 20160
bfs 5000 0.05 6776
dfs 5000 0.05 6800
sc 5000 0.1 40400
bfs 5000 0.1 13160
dfs 5000 0.1 13320
sc 5000 0.1 39920
bfs 5000 0.1 13200
dfs 5000 0.1 13320
sc 5000 0.1 39240
bfs 5000 0.1 13200
dfs 5000 0.1 13240
sc 5000 0.1 39400
bfs 5000 0.1 13120
dfs 5000 0.1 13320
sc 5000 0.1 39320
bfs 5000 0.1 13240
dfs 5000 0.1 13240
sc 5000 0.1 39680
bfs 5000 0.1 13200
dfs 5000 0.1 13320
sc 5000 0.1 39360
bfs 5000 0.1 13160
dfs 5000 0.1 13360
sc 5000 0.1 39360
bfs 5000 0.1 13160
dfs 5000 0.1 13280
sc 5000 0.1 39400
bfs 5000 0.1 13120
dfs 5000 0.1 13280
sc 5000 0.1 39440
bfs 5000 0.1 13200
dfs 5000 0.1 13200
sc 5000 0.5 193200
bfs 5000 0.5 64800
dfs 5000 0.5 64800
sc 5000 0.5 194000
bfs 5000 0.5 64400
dfs 5000 0.5 65000
sc 5000 0.5 193400
bfs 5000 0.5 65000
dfs 5000 0.5 65000
sc 5000 0.5 194400
bfs 5000 0.5 64400
dfs 5000 0.5 64800
sc 5000 0.5 193600
bfs 5000 0.5 64600
dfs 5000 0.5 65400
sc 5000 0.5 193600
bfs 5000 0.5 64200
dfs 5000 0.5 64600
sc 5000 0.5 196600
bfs 5000 0.5 64800
dfs 5000 0.5 64600
sc 5000 0.5 192800
bfs 5000 0.5 64200
dfs 5000 0.5 64400
sc 5000 0.5 195200
bfs 5000 0.5 66200
dfs 5000 0.5 66600
sc 5000 0.5 193800
bfs 5000 0.5 66200
dfs 5000 0.5 67000
sc 5000 1 388000
bfs 5000 1 128200
dfs 5000 1 129200
sc 5000 1 384800
bfs 5000 1 128000
dfs 5000 1 128200
sc 5000 1 388000
bfs 5000 1 127800
dfs 5000 1 128800
